Título do projeto;Palavras-chave;Situação;Data início;Data fim;Coordenação;Coordenador;Grupo de pesquisa;Linha de pesquisa;Área do conhecimento
Organização dos saberes no domínio de povos e comunidades tradicionais do brasil: linguagens, tecnologias, instituições informacionais e integração pragmática de dados.;"Epistemologia da Ciência da Informação; Filosofia da Linguagem; Filosofia da Cultura;  Epistemologia Histórica;  Linguagem. ";Finalizado;2019;2022;IBICT/COEPI;Gustavo Saldanha;Ecce Liber: Filosofia, Linguagem e Saberes;"1) História e epistemologia das ideias no pensamento informacional;
2) Filosofia e Epistemologia da organização dos saberes: estudos históricos e epistemológicos da Ciência da Informação;
3) Filosofia da Informação;
4) Estudos informacionais na perspectiva comparada e internacional;
5) Filosofia da Linguagem e estudos informacionais.";"Ciência da Informação
"
"Epistemologia histórica da ciência da informação e organização do conhecimento: dos fundamentos filosóficos da linguagem à teoria crítica da classificação.
";"Epistemologia; histórica da Ciência da Informação; Instituições; Conceitos; Artefatos; Intersujeitos. ";Finalizado;2019;2022;IBICT/COEPI;Gustavo Saldanha;Teoria, Epistemologia e Interdisciplinaridade da Ciência da Informação;"1) História e epistemologia das ideias no pensamento informacional;
2) Filosofia e Epistemologia da organização dos saberes: estudos históricos e epistemológicos da Ciência da Informação;
3) Filosofia da Informação;
4) Estudos informacionais na perspectiva comparada e internacional;
5) Filosofia da Linguagem e estudos informacionais.";"Ciência da Informação
"
Competência crítica em informação para o novo regime de informação.;"Regime de informação; competência em informação.";Finalizado;2021;2024;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;"Configurações Socioculturais, Políticas e Econômicas da Informação
";"Ciência da Informação
"
"
Inteligência artificial e qualidade de vida no ecossistema digital: a busca por autonomia no capitalismo de vigilância";"Inteligência Artificial; desinformação; ética da informação";Em Execução ;2023;2026;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;Configurações Socioculturais, Políticas e Econômicas da Informação;Ciência da Informação
Inteligência Artificial e desinformação: dilemas éticos da era digital;"Inteligência Artificial; desinformação; ética da informação";Em Execução ;2024;2027;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;Configurações Socioculturais, Políticas e Econômicas da Informação;Ciência da Informação
Dilemas éticos da era digital: difusão de conhecimento científico para desenvolvimento de competências críticas em informação e combate à desinformação;"Regime de informação; Inteligência Artificial; desinformação; ética da informação";Em Execução ;2024;2025;IBICT/COEPI;Arthur Coelho Bezerra;ESCRITOS – Estudos críticos em informação, tecnologia e organização social ;"Configurações Socioculturais, Políticas e Econômicas da Informação
";"Ciência da Informação
"
"Discurso, Melhoria de Processos e Inovação em Organizações Complexas da Sociedade da Informação.

";Sociedade da informação.;Finalizado ;2011;2019;IBICT/COEPI;Clóvis Ricardo M de Lima;"1) Economias colaborativas e produção P2P no Brasil
2) Filosofia e Política da Informação
";"1) Produção e desenvolvimento;
2) Profissionais da informação;
3) Configurações socioculturais, políticas e econômicas da informação;
4) Comunicação, Organização e Gestão da Informação e do Conhecimento
";"Ciência da Informação
"
Discurso, Melhoria de Processos e Inovação em Organizações Complexas da Sociedade da Informação.;Teoria do Agir Comunicativo. Discurso. Qualidade. Organizações complexas. ;Em Execução ;2011;2026;IBICT/COEPI;Clóvis Ricardo M de Lima;"1) Economias colaborativas e produção P2P no Brasil
2) Filosofia e Política da Informação
3) Informação em Ciência, Tecnologia e Inovação em Saúde ";;Ciência da Informação
Competência em informação na sociedade da desinformação.;"Cultura politica na informação; Fluxos informacionais na informação.";Finalizado;2019;2022;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";"Ciência da Informação
"
Referências cruzadas: ética, política e epistemologia na Ciência da Informação.;"Ética na Informação; Epistemologia da Ciência da Informação; Ética na Política.";Finalizado;2018;2021;IBICT/COEPI;Marco Schneider;Perfil-i (Perspectivas Filosóficas em Informação);"1) Políticas, discursos e sociedade;
2) Cultura e Desenvolvimento;
3) Configurações Socioculturais, Políticas e Econômicas da Informação;
4) Ética, Política e Epistemologia.                                                                                                                                         
";"Ciência da Informação
"
